year,event,session,driver,driver_number,team,stint,compound,n_laps,stint_start_lap,stint_end_lap,tyre_age_start,tyre_age_end,pred_wear_s_per_lap,practice_wear_s_per_lap,loeo_wear_s_per_lap,field_wear_s_per_lap,live_wear_s_per_lap,actual_wear_s_per_lap,actual_wear_full_s_per_lap,wear_error,pred_plus_5_s,pred_plus_10_s,pred_plus_15_s,cliff_tyre_lap,recommended_pit_lap,actual_pit_lap,prior_source,notes
2026,Monza,R,NOR,1,McLaren,1.0,MEDIUM,2,1.0,2.0,1.0,2.0,0.03393997939530092,0.0076717235578238185,0.009456048481237754,0.03393997939530092,,,,,0.1696998969765046,0.3393997939530092,0.5090996909295138,29.5,,3.0,field_lodo,no pit call from wear
2026,Monza,R,NOR,1,McLaren,2.0,HARD,45,7.0,53.0,4.0,50.0,0.0900411846481777,0.008878976868257941,0.030903339675026748,0.04785954881666637,0.17440445631120038,0.08552614307959362,0.1024067216838395,0.00451504156858408,0.4502059232408885,0.900411846481777,1.3506177697226656,11.1,,,live_field_lodo,no pit call from wear
2026,Monza,R,OCO,31,Haas F1 Team,1.0,SOFT,2,1.0,2.0,1.0,2.0,0.0,0.01450591517625021,-0.03301188950928176,-0.002988400744263439,,,,,0.0,0.0,0.0,,,3.0,field_lodo,no pit call from wear
2026,Monza,R,OCO,31,Haas F1 Team,2.0,HARD,20,7.0,26.0,4.0,23.0,0.12174980070052786,0.008878976868257941,0.030903339675026748,0.06010189400905207,0.24504561408347947,-0.07453555101158879,-0.04075415752479811,0.19628535171211664,0.6087490035026393,1.2174980070052785,1.826247010507918,8.2,,27.0,live_field_lodo,no pit call from wear
2026,Monza,R,OCO,31,Haas F1 Team,3.0,MEDIUM,24,29.0,52.0,2.0,25.0,0.033630665628346317,0.0076717235578238185,0.009456048481237754,0.030704141643897027,0.03948371359724489,0.18293612507367735,0.0912135807975787,-0.14930545944533102,0.1681533281417316,0.3363066562834632,0.5044599844251948,29.7,,,live_field_lodo,no pit call from wear
2026,Monza,R,PER,11,Cadillac,1.0,SOFT,2,1.0,2.0,1.0,2.0,0.0,0.01450591517625021,-0.03301188950928176,-0.061457355272873944,,,,,0.0,0.0,0.0,,,3.0,field_lodo,no pit call from wear
2026,Monza,R,PER,11,Cadillac,2.0,SOFT,20,7.0,26.0,4.0,23.0,0.32445959633612487,0.01450591517625021,-0.03301188950928176,-0.061457355272873944,0.9733787890083747,-0.21506486912589562,0.06664077072451535,0.5395244654620205,1.6222979816806244,3.244595963361249,4.866893945041873,3.1,,27.0,live_field_lodo,no pit call from wear
2026,Monza,R,PER,11,Cadillac,3.0,MEDIUM,24,29.0,52.0,2.0,25.0,0.24409857021460082,0.0076717235578238185,0.009456048481237754,0.03344414406369559,0.6654074225164113,0.13839968578912337,0.16183027857808904,0.10569888442547745,1.2204928510730042,2.4409857021460084,3.661478553219012,4.1,,,live_field_lodo,no pit call from wear
2026,Monza,R,PIA,81,McLaren,1.0,MEDIUM,2,1.0,2.0,1.0,2.0,0.03288008872129654,0.0076717235578238185,0.009456048481237754,0.03288008872129654,,,,,0.1644004436064827,0.3288008872129654,0.49320133081944806,30.4,,3.0,field_lodo,no pit call from wear
2026,Monza,R,PIA,81,McLaren,2.0,HARD,45,7.0,53.0,4.0,50.0,0.1977973043647641,0.008878976868257941,0.030903339675026748,0.054113324608601854,0.4851652638770886,0.06286328336516069,0.0805477549381431,0.1349340209996034,0.9889865218238204,1.9779730436476408,2.9669595654714613,5.1,,,live_field_lodo,no pit call from wear
2026,Monza,R,RUS,63,Mercedes,1.0,MEDIUM,2,1.0,2.0,1.0,2.0,0.03328316263870797,0.0076717235578238185,0.009456048481237754,0.03328316263870797,,,,,0.16641581319353982,0.33283162638707964,0.4992474395806195,30.0,,3.0,field_lodo,no pit call from wear
2026,Monza,R,RUS,63,Mercedes,2.0,HARD,45,7.0,53.0,4.0,50.0,0.2586015635843175,0.008878976868257941,0.030903339675026748,0.05612262703548435,0.6635594366819838,0.051042766853137606,0.0526359336276711,0.2075587967311799,1.2930078179215876,2.586015635843175,3.8790234537647628,3.9,,,live_field_lodo,no pit call from wear
2026,Monza,R,SAI,55,Williams,1.0,SOFT,2,1.0,2.0,1.0,2.0,0.0,0.01450591517625021,-0.03301188950928176,-0.002999955818478527,,,,,0.0,0.0,0.0,,,3.0,field_lodo,no pit call from wear
2026,Monza,R,SAI,55,Williams,2.0,HARD,20,7.0,26.0,4.0,23.0,0.03697017068520803,0.008878976868257941,0.030903339675026748,0.055455256027812046,-0.15290437103067528,0.24953500181251959,0.11282772739638215,-0.21256483112731156,0.18485085342604016,0.3697017068520803,0.5545525602781205,27.0,,27.0,live_field_lodo,no pit call from wear
2026,Monza,R,SAI,55,Williams,3.0,MEDIUM,25,29.0,53.0,2.0,26.0,0.13850384538648491,0.0076717235578238185,0.009456048481237754,0.041564994975733446,0.3323815462079878,0.06632244244392797,0.10208027519278749,0.07218140294255694,0.6925192269324245,1.385038453864849,2.0775576807972738,7.2,,,live_field_lodo,no pit call from wear
2026,Monza,R,STR,18,Aston Martin,1.0,SOFT,2,1.0,2.0,1.0,2.0,0.0,0.01450591517625021,-0.03301188950928176,-0.0022405235528521455,,,,,0.0,0.0,0.0,,,3.0,field_lodo,no pit call from wear
2026,Monza,R,STR,18,Aston Martin,2.0,HARD,20,7.0,26.0,4.0,23.0,0.18170433744944461,0.008878976868257941,0.030903339675026748,0.06047438672459806,0.42416423889913774,0.1649010410710727,0.10294225851550946,0.016803296378371912,0.908521687247223,1.817043374494446,2.725565061741669,5.5,,,live_field_lodo,no pit call from wear
2026,Monza,R,TSU,22,Racing Bulls,1.0,HARD,2,1.0,2.0,1.0,2.0,0.058341687420275005,0.008878976868257941,0.030903339675026748,0.058341687420275005,,,,,0.291708437101375,0.58341687420275,0.8751253113041251,17.1,,3.0,field_lodo,no pit call from wear
2026,Monza,R,TSU,22,Racing Bulls,2.0,MEDIUM,46,7.0,53.0,4.0,50.0,0.13634859093785123,0.0076717235578238185,0.009456048481237754,0.03161212047475813,0.34582153186403747,0.0725665312682915,0.09338931878279912,0.06378205966955973,0.6817429546892562,1.3634859093785123,2.0452288640677683,7.3,,,live_field_lodo,no pit call from wear
2026,Monza,R,VER,3,Red Bull Racing,1.0,SOFT,2,1.0,2.0,1.0,2.0,0.0,0.01450591517625021,-0.03301188950928176,-0.002999829097753959,,,,,0.0,0.0,0.0,,,3.0,field_lodo,no pit call from wear
2026,Monza,R,VER,3,Red Bull Racing,2.0,MEDIUM,21,7.0,27.0,4.0,24.0,0.32742962934977277,0.0076717235578238185,0.009456048481237754,0.034335856046821635,0.913617175955675,0.08251267120961013,0.041700340040983004,0.24491695814016262,1.6371481467488638,3.2742962934977276,4.9114444402465915,3.1,,28.0,live_field_lodo,no pit call from wear
2026,Monza,R,VER,3,Red Bull Racing,3.0,HARD,24,30.0,53.0,2.0,25.0,0.05949620351166644,0.008878976868257941,0.030903339675026748,0.052591371320974176,0.07330586789305096,0.24852072512783946,0.19965011650652376,-0.189024521616173,0.29748101755833223,0.5949620351166645,0.8924430526749967,16.8,,,live_field_lodo,no pit call from wear
2026,Silverstone,R,ALB,23,Williams,1.0,MEDIUM,1,1.0,1.0,1.0,1.0,0.0007194221762957981,0.6257266201412092,0.03710499921158832,0.0007194221762957981,,,,,0.0035971108814789906,0.007194221762957981,0.010791332644436972,,,2.0,field_lodo,no pit call from wear
2026,Silverstone,R,ALB,23,Williams,2.0,HARD,11,3.0,14.0,2.0,13.0,0.03273700140343301,-0.009626486297381252,0.05435131488989194,0.03273700140343301,,-0.23405099242169183,-0.23405099242169183,0.26678799382512486,0.16368500701716504,0.3273700140343301,0.4910550210514952,30.5,,15.0,field_lodo,practice slope negative; no pit call from wear
2026,Silverstone,R,ALB,23,Williams,3.0,MEDIUM,7,16.0,23.0,9.0,16.0,0.0007194221762957981,0.6257266201412092,0.03710499921158832,0.0007194221762957981,,,,,0.0035971108814789906,0.007194221762957981,0.010791332644436972,,,24.0,field_lodo,no pit call from wear
