year,event,session,driver,driver_number,team,lap_number,stint,compound,tyre_life,fresh_tyre,lap_time_s,sector1_s,sector2_s,sector3_s,position,track_status,deleted,is_accurate,is_pit_lap,is_green,fuel_kg_burned,lap_time_fuel_corr_s,assumed_harvest_mj,air_temp_c,track_temp_c,rainfall,sess_FP1,sess_FP2,sess_FP3,sess_Q,sess_R,y_fuel_s,a_y_pred,residual_s
2026,Silverstone,FP1,BOR,5,Audi,6.0,1.0,HARD,6.0,True,92.355,29.651,37.252,25.452,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,92.355,92.27598817187717,0.07901182812283025
2026,Silverstone,FP1,BOR,5,Audi,7.0,1.0,HARD,7.0,True,,48.172,62.731,50.336,,1,,False,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.27598817187717,
2026,Silverstone,FP1,BOR,5,Audi,8.0,1.0,HARD,8.0,True,92.016,29.352,37.198,25.466,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,92.016,92.27598817187717,-0.2599881718771684
2026,Silverstone,FP1,BOR,5,Audi,9.0,1.0,HARD,9.0,True,139.252,41.372,62.187,35.693,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,139.252,92.27598817187717,46.976011828122836
2026,Silverstone,FP1,BOR,5,Audi,10.0,1.0,HARD,10.0,True,91.813,29.324,37.026,25.463,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,91.813,92.27598817187717,-0.46298817187717134
2026,Silverstone,FP1,BOR,5,Audi,11.0,1.0,HARD,11.0,True,105.523,38.774,40.47,26.279,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,105.523,92.27598817187717,13.247011828122822
2026,Silverstone,FP1,BOR,5,Audi,12.0,2.0,HARD,12.0,False,,,49.207,28.223,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.27598817187717,
2026,Silverstone,FP1,BOR,5,Audi,13.0,2.0,HARD,13.0,False,93.607,29.274,37.355,26.978,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,93.607,92.27598817187717,1.3310118281228256
2026,Silverstone,FP1,BOR,5,Audi,14.0,3.0,HARD,14.0,False,141.355,65.936,45.625,29.794,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,141.355,92.27598817187717,49.079011828122816
2026,Silverstone,FP1,BOR,5,Audi,15.0,3.0,HARD,15.0,False,92.621,29.465,37.359,25.797,,12,,True,False,False,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,92.621,92.27598817187717,0.3450118281228214
2026,Silverstone,FP1,BOR,5,Audi,16.0,3.0,HARD,16.0,False,100.678,36.237,38.492,25.949,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,100.678,92.27598817187717,8.402011828122824
2026,Silverstone,FP1,BOR,5,Audi,17.0,3.0,HARD,17.0,False,94.509,29.971,38.615,25.923000000000002,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.509,92.27598817187717,2.2330118281228266
2026,Silverstone,FP1,BOR,5,Audi,18.0,3.0,HARD,18.0,False,94.4,29.796,38.31,26.294,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.4,92.27598817187717,2.124011828122832
2026,Silverstone,FP1,BOR,5,Audi,19.0,3.0,HARD,19.0,False,94.441,29.708,38.607,26.126,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.441,92.27598817187717,2.1650118281228288
2026,Silverstone,FP1,BOR,5,Audi,20.0,3.0,HARD,20.0,False,93.988,29.951999999999998,38.775,25.261,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,93.988,92.27598817187717,1.7120118281228258
2026,Silverstone,FP1,BOR,5,Audi,21.0,4.0,MEDIUM,1.0,True,,,43.931,32.632,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,91.86066941236243,
2026,Silverstone,FP1,BOR,5,Audi,22.0,4.0,MEDIUM,2.0,True,91.035,29.018,36.864,25.153,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,91.035,91.86066941236243,-0.82566941236243
2026,Silverstone,FP1,BOR,5,Audi,23.0,4.0,MEDIUM,3.0,True,118.775,40.315,47.943,30.517,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,118.775,91.86066941236243,26.91433058763758
2026,Silverstone,FP1,BOR,5,Audi,24.0,5.0,MEDIUM,4.0,False,135.959,56.161,48.758,31.04,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,135.959,91.86066941236243,44.09833058763758
2026,Silverstone,FP1,BOR,5,Audi,25.0,5.0,MEDIUM,5.0,False,92.267,29.154,37.45,25.663,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,92.267,91.86066941236243,0.40633058763756935
2026,Silverstone,FP1,BOR,5,Audi,26.0,5.0,MEDIUM,6.0,False,136.104,43.357,52.027,40.72,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,136.104,91.86066941236243,44.24333058763759
2026,Silverstone,FP1,BOR,5,Audi,27.0,5.0,MEDIUM,7.0,False,,65.899,46.735,41.927,,1,,False,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,91.86066941236243,
2026,Silverstone,FP1,BOR,5,Audi,28.0,5.0,MEDIUM,8.0,False,136.679,63.153,42.125,31.401,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,136.679,91.86066941236243,44.818330587637575
2026,Silverstone,FP1,HAD,6,Red Bull Racing,1.0,1.0,HARD,1.0,True,,,44.225,37.003,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.27598817187717,
2026,Silverstone,FP1,HAD,6,Red Bull Racing,2.0,1.0,HARD,2.0,True,93.177,29.716,37.74,25.721,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,93.177,92.27598817187717,0.901011828122833
2026,Silverstone,FP1,HAD,6,Red Bull Racing,3.0,1.0,HARD,3.0,True,,52.93,58.373,41.75,,1,,False,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.27598817187717,
2026,Silverstone,FP1,HAD,6,Red Bull Racing,4.0,1.0,HARD,4.0,True,91.697,29.009,37.093,25.595,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,91.697,92.27598817187717,-0.578988171877171
2026,Silverstone,FP1,HAD,6,Red Bull Racing,5.0,1.0,HARD,5.0,True,,57.235,62.269,34.36,,1,,False,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.27598817187717,
2026,Silverstone,FP1,HAD,6,Red Bull Racing,6.0,1.0,HARD,6.0,True,90.969,28.809,36.816,25.344,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,90.969,92.27598817187717,-1.3069881718771796
2026,Silverstone,FP1,HAD,6,Red Bull Racing,7.0,1.0,HARD,7.0,True,121.266,37.689,53.462,30.115,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,121.266,92.27598817187717,28.99001182812283
2026,Silverstone,FP1,HAD,6,Red Bull Racing,8.0,2.0,HARD,8.0,False,,,39.341,25.95,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.27598817187717,
2026,Silverstone,FP1,HAD,6,Red Bull Racing,9.0,2.0,HARD,9.0,False,94.234,29.98,38.362,25.892,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.234,92.27598817187717,1.958011828122821
2026,Silverstone,FP1,HAD,6,Red Bull Racing,10.0,2.0,HARD,10.0,False,93.708,29.874,38.102,25.732,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,93.708,92.27598817187717,1.4320118281228247
2026,Silverstone,FP1,HAD,6,Red Bull Racing,11.0,2.0,HARD,11.0,False,94.165,30.025,38.282,25.858,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.165,92.27598817187717,1.8890118281228325
2026,Silverstone,FP1,HAD,6,Red Bull Racing,12.0,2.0,HARD,12.0,False,102.116,30.03,43.171,28.915,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,102.116,92.27598817187717,9.840011828122826
2026,Silverstone,FP1,HAD,6,Red Bull Racing,13.0,2.0,HARD,13.0,False,93.492,29.818,38.068,25.606,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,93.492,92.27598817187717,1.2160118281228307
2026,Silverstone,FP1,HAD,6,Red Bull Racing,14.0,2.0,HARD,14.0,False,94.144,29.981,38.239,25.924,,12,,True,False,False,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.144,92.27598817187717,1.8680118281228317
2026,Silverstone,FP1,HAD,6,Red Bull Racing,15.0,2.0,HARD,15.0,False,93.936,29.964,38.212,25.76,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,93.936,92.27598817187717,1.6600118281228333
2026,Silverstone,FP1,HAD,6,Red Bull Racing,16.0,2.0,HARD,16.0,False,94.36,30.198,38.326,25.836,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.36,92.27598817187717,2.0840118281228257
2026,Silverstone,FP1,HAD,6,Red Bull Racing,17.0,2.0,HARD,17.0,False,94.423,30.012,38.565,25.846,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.423,92.27598817187717,2.147011828122828
2026,Silverstone,FP1,HAD,6,Red Bull Racing,18.0,2.0,HARD,18.0,False,94.169,30.023,38.471,25.675,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.169,92.27598817187717,1.8930118281228232
