session,driver_number,driver,lap_number,stint,compound,tyre_age,lap_time_s,fuel_est_kg,te_index,min_gap_s,traffic_flag,air_temp,track_temp,e_deploy_lap_mj,e_harvest_lap_mj,soc_min_lap_mj,n_empty_battery_clips,n_superclips,empty_clip_duration_s,superclip_duration_s,lift_coast_duration_s,fuel_in_stint_kg,is_representative
R,10,GAS,13.0,2.0,HARD,1.0,111.634,78.4,5.41610040220442,inf,1,24.6,36.8,5.0230676141050505,4.37710531805949,1.920445977011855,17,0,13.300000000000018,0.0,22.1,0.0,0
R,10,GAS,14.0,2.0,HARD,2.0,85.748,76.6,5.484796933490655,inf,0,24.3,36.6,7.655204582179019,3.708742556454011,0.003819373269900977,18,0,36.699999999999996,0.0,13.3,-1.8,1
R,10,GAS,15.0,2.0,HARD,3.0,84.823,74.8,5.552959584921617,inf,0,24.3,37.3,7.240265359417397,3.9966309315950777,0.1645011470260262,16,1,28.800000000000004,7.000000000000005,14.3,-3.6,1
R,10,GAS,16.0,2.0,HARD,4.0,84.69,73.0,5.62040086571715,inf,0,24.5,39.1,6.883532285328069,3.670340694382954,0.03310273228973982,16,1,33.4,0.6,12.8,-5.4,1
R,10,GAS,17.0,2.0,HARD,5.0,85.203,71.2,5.676753802268282,inf,0,24.6,37.7,6.608325016070015,4.300286621568566,0.7851476797819587,22,0,30.80000000000001,0.0,13.8,-7.2,1
R,10,GAS,18.0,2.0,HARD,6.0,101.225,69.4,5.720311776607412,inf,1,24.6,36.3,6.205639665283126,5.311646784104726,1.801466363690317,16,0,19.699999999999992,0.0,23.8,-9.0,0
R,10,GAS,19.0,2.0,HARD,7.0,112.95,67.6,5.75890177387728,inf,1,24.7,35.9,3.6638536169410196,3.5988956642394125,2.777813158824491,9,0,11.100000000000009,0.0,23.200000000000003,-10.8,0
R,10,GAS,20.0,2.0,HARD,8.0,86.578,65.8,5.808142489980444,inf,1,24.6,35.8,6.629494189527901,4.270512598278747,0.6765639393109446,17,1,29.400000000000023,0.8999999999999971,16.2,-12.6,1
R,10,GAS,21.0,2.0,HARD,9.0,85.678,64.0,5.855071922202427,inf,0,24.6,35.9,6.954708708860839,4.204208470607734,0.36069629830348193,18,1,30.100000000000005,0.7000000000000014,15.4,-14.4,1
R,10,GAS,22.0,2.0,HARD,10.0,84.586,62.199999999999996,5.902633333401366,inf,0,24.6,36.4,7.100446889122706,3.411521961749191,0.029798890070139743,17,1,34.000000000000014,1.1,13.200000000000001,-16.2,1
R,10,GAS,23.0,2.0,HARD,11.0,84.499,60.4,5.948034989180646,inf,0,24.5,36.6,7.203655741930515,4.010282384370194,0.12959080644937554,17,0,33.2,0.0,14.100000000000001,-18.0,1
R,10,GAS,24.0,2.0,HARD,12.0,84.852,58.6,5.991464547107982,inf,0,24.7,37.5,7.546156447465425,3.881892281879172,0.024508902215622966,19,2,33.799999999999976,1.8000000000000014,10.9,-19.8,1
R,10,GAS,25.0,2.0,HARD,13.0,84.54,56.8,6.030685260261263,inf,0,24.8,37.6,6.99719795854713,3.8449743585035394,0.1015454991106946,15,1,32.100000000000016,1.800000000000003,15.3,-21.6,1
R,10,GAS,26.0,2.0,HARD,14.0,84.771,55.0,6.068425588244111,inf,0,24.9,37.1,7.363289664123224,4.375367732268515,0.19831672819435547,15,2,28.999999999999996,3.699999999999994,13.3,-23.400000000000002,1
R,10,GAS,27.0,2.0,HARD,15.0,84.661,53.199999999999996,6.1070228877422545,inf,0,24.8,36.5,7.4277170603680265,4.07044270736427,0.0768518785092548,18,1,27.299999999999994,6.399999999999997,13.100000000000001,-25.2,1
R,10,GAS,28.0,2.0,HARD,16.0,84.795,51.4,6.142037405587356,inf,0,24.8,36.1,7.300666903045486,4.1586961053268965,0.14176691667133484,16,0,27.800000000000022,0.0,14.700000000000001,-27.0,1
R,10,GAS,29.0,2.0,HARD,17.0,85.096,49.6,6.175867270105761,inf,0,24.9,36.1,7.271433939749148,3.996983711932139,0.05057703004109902,14,2,26.600000000000012,1.5999999999999914,12.8,-28.8,1
R,10,GAS,30.0,2.0,HARD,18.0,85.242,47.8,6.212606095751519,inf,0,25.3,36.1,7.311919405740538,3.8349551748731567,0.008191439901113238,16,0,29.200000000000006,0.0,14.700000000000001,-30.6,1
R,10,GAS,31.0,2.0,HARD,19.0,85.271,46.0,6.248042874508429,inf,0,25.3,37.6,7.3499529853335686,3.964239369617165,0.0678205776546863,17,0,26.599999999999998,0.0,13.9,-32.4,1
R,10,GAS,32.0,2.0,HARD,20.0,85.202,44.199999999999996,6.282266746896006,inf,0,25.2,37.0,7.295037119395833,3.6903428709085864,0.08160267736876216,15,0,25.59999999999998,0.0,15.700000000000001,-34.2,1
R,10,GAS,33.0,2.0,HARD,21.0,92.276,42.4,6.313548046277095,inf,1,25.1,37.7,6.601862322285355,3.92459558839449,0.2589229851780191,13,0,22.499999999999993,0.0,17.0,-36.0,1
R,10,GAS,34.0,2.0,HARD,22.0,91.244,40.6,6.335054251498059,inf,1,25.0,37.3,7.4187105726821,3.8374146564066667,0.008348220088559722,12,0,28.800000000000004,0.0,19.0,-37.800000000000004,1
R,10,GAS,35.0,2.0,HARD,23.0,85.029,38.8,6.3561076606958915,inf,0,25.3,37.6,7.330803288805464,3.9229157621665296,0.021696399239324024,15,0,27.699999999999992,0.0,14.9,-39.6,1
R,10,GAS,36.0,2.0,HARD,24.0,85.177,37.0,6.3818160174060985,inf,0,25.2,37.8,7.381310646325891,4.289359254772527,0.035815661122332726,17,0,29.700000000000003,0.0,14.8,-41.4,1
R,10,GAS,37.0,2.0,HARD,25.0,86.333,35.2,6.410174881966167,inf,0,25.1,36.7,7.613114631559663,4.123384185346188,0.08847163485454815,13,0,31.40000000000001,0.0,15.200000000000001,-43.2,1
R,10,GAS,38.0,2.0,HARD,26.0,86.094,33.39999999999999,6.434546518787453,inf,0,25.1,35.9,7.171588852870666,4.32894022324024,0.26198512118269585,15,0,27.999999999999986,0.0,14.9,-45.0,1
R,10,GAS,39.0,2.0,HARD,27.0,85.265,31.599999999999994,6.459904454377535,inf,0,25.0,35.7,7.398856194767539,4.05624538257579,0.008779142735480219,14,0,29.399999999999995,0.0,15.700000000000001,-46.800000000000004,1
R,10,GAS,40.0,2.0,HARD,28.0,86.132,29.799999999999997,6.486160788944089,inf,0,25.0,35.4,7.092045407962637,4.1551059760815585,0.536747183773078,14,0,27.29999999999999,0.0,16.2,-48.6,1
R,10,GAS,41.0,2.0,HARD,29.0,85.319,28.0,6.508769136971682,inf,0,25.0,35.5,7.125642833750797,4.123882353698795,0.14195700503289596,15,0,28.700000000000028,0.0,15.600000000000001,-50.4,1
R,10,GAS,42.0,2.0,HARD,30.0,84.879,26.200000000000003,6.530877627725885,inf,0,25.1,35.5,7.372957889500501,4.261521942958932,0.04362834536553188,16,2,27.30000000000001,1.4999999999999973,12.9,-52.2,1
R,10,GAS,43.0,2.0,HARD,31.0,84.977,24.39999999999999,6.553933404025811,inf,0,25.2,36.1,7.316063755120605,3.9547518163279873,0.005077045047369534,19,0,31.400000000000002,0.0,13.8,-54.0,1
R,10,GAS,44.0,2.0,HARD,32.0,85.028,22.599999999999994,6.576469569048224,inf,0,25.2,36.2,7.569239588777949,3.9472457812044848,0.00730873179211744,17,1,30.7,0.4000000000000007,13.8,-55.800000000000004,1
R,10,GAS,45.0,2.0,HARD,33.0,87.175,20.799999999999997,6.598509028614515,inf,1,25.1,36.2,7.224317019149256,3.9236900029216573,0.0022185240356776526,15,0,24.800000000000008,0.0,15.4,-57.6,1
R,10,GAS,46.0,2.0,HARD,34.0,85.353,19.0,6.617402977974478,inf,0,25.1,35.7,7.8245737477129005,4.446510761978099,0.15985200315450618,17,1,29.599999999999998,0.6,12.9,-59.4,1
R,10,GAS,47.0,2.0,HARD,35.0,86.497,17.200000000000003,6.637258031284457,inf,1,25.1,35.4,7.71633359466632,4.118017815496232,0.020424765694993453,15,0,27.60000000000001,0.0,16.5,-61.2,1
R,10,GAS,48.0,2.0,HARD,36.0,84.982,15.399999999999991,6.655440350367647,inf,0,25.2,35.8,7.692183205745381,4.535646774934513,0.05802577178115319,17,3,32.29999999999998,2.9000000000000012,13.3,-63.0,1
