session,driver_number,driver,lap_number,stint,compound,tyre_age,lap_time_s,fuel_est_kg,te_index,min_gap_s,traffic_flag,air_temp,track_temp,e_deploy_lap_mj,e_harvest_lap_mj,soc_min_lap_mj,n_empty_battery_clips,n_superclips,empty_clip_duration_s,superclip_duration_s,lift_coast_duration_s,fuel_in_stint_kg,is_representative,event
R,55,SAI,31.0,3.0,MEDIUM,3.0,86.128,46.0,6.2766434893416445,inf,0,32.5,53.9,6.3279312015469,3.5936837127604457,0.2214355248111498,15,0,33.300000000000004,0.0,9.9,-3.6,1,Monza
R,55,SAI,32.0,3.0,MEDIUM,4.0,86.236,44.2,6.311734809152915,inf,0,32.7,53.9,6.157409860936757,3.631826324420889,0.3490380419683367,13,0,34.300000000000026,0.0,9.3,-5.4,1,Monza
R,55,SAI,33.0,3.0,MEDIUM,5.0,86.415,42.4,6.345636360828596,inf,0,32.7,54.5,5.815666225508052,3.737289114511048,0.7860145158117584,13,0,35.5,0.0,10.2,-7.2,1,Monza
R,55,SAI,34.0,3.0,MEDIUM,6.0,86.278,40.6,6.3784261836515865,inf,0,32.8,54.2,6.003808931174692,3.751253666630744,0.6466984958347661,9,0,35.09999999999999,0.0,10.3,-9.0,1,Monza
R,55,SAI,35.0,3.0,MEDIUM,7.0,86.124,38.8,6.408528791059498,inf,0,32.8,53.8,5.871158608616319,3.77428921840196,0.74491132742408,12,0,37.10000000000001,0.0,10.1,-10.8,1,Monza
R,55,SAI,36.0,3.0,MEDIUM,8.0,86.1,37.0,6.439350371100098,inf,0,32.8,53.7,6.061498803416836,3.6591240321098986,0.4382602714847254,13,0,39.50000000000002,0.0,8.8,-12.6,1,Monza
R,55,SAI,37.0,3.0,MEDIUM,9.0,85.91,35.2,6.4692503167957724,inf,0,32.8,53.6,6.060905590096674,3.659925735432496,0.4972597379194084,12,0,27.699999999999974,0.0,8.4,-14.4,1,Monza
R,55,SAI,38.0,3.0,MEDIUM,10.0,85.772,33.39999999999999,6.498282149476434,inf,0,32.7,53.8,6.2920447946410665,3.503594257915298,0.1135920450084278,11,1,34.29999999999999,3.900000000000005,7.0,-16.2,1,Monza
R,55,SAI,40.0,3.0,MEDIUM,12.0,86.036,29.8,6.55250788703459,inf,0,32.8,53.1,6.2178891233101705,3.4054313466381974,0.0328298843943164,11,1,36.5,3.6,7.6,-19.8,1,Monza
R,55,SAI,41.0,3.0,MEDIUM,13.0,85.93,28.0,6.579251212010101,inf,0,32.7,53.0,5.884889172858038,3.071388274275465,0.0205799140868687,10,1,34.40000000000003,3.800000000000003,6.7,-21.6,1,Monza
R,55,SAI,42.0,3.0,MEDIUM,14.0,85.88,26.200000000000003,6.602587892189336,inf,0,32.7,53.3,6.407900961687104,3.646592497482215,0.084212872129132,12,1,36.50000000000001,3.999999999999999,7.5,-23.4,1,Monza
R,55,SAI,43.0,3.0,MEDIUM,15.0,86.39,24.39999999999999,6.626717749249025,inf,0,32.6,52.9,6.150790895300959,3.873980741449454,0.5502810070168139,11,0,35.60000000000004,0.0,10.3,-25.2,1,Monza
R,55,SAI,44.0,3.0,MEDIUM,16.0,86.149,22.599999999999994,6.651571873589727,inf,0,32.6,52.5,5.891851003390591,3.900643172392295,0.8768193198761228,14,1,33.19999999999998,0.3000000000000028,9.7,-27.0,1,Monza
R,55,SAI,45.0,3.0,MEDIUM,17.0,86.098,20.8,6.675823221634848,inf,0,32.6,52.7,5.194884825261051,4.21954594519662,1.699770435909469,14,0,39.50000000000002,0.0,9.8,-28.8,1,Monza
R,55,SAI,46.0,3.0,MEDIUM,18.0,85.683,19.0,6.698268054115413,inf,0,32.6,52.7,5.924443824156743,3.5286053632368777,0.439460062217169,13,1,38.99999999999998,3.200000000000001,7.2,-30.6,1,Monza
R,55,SAI,47.0,3.0,MEDIUM,19.0,85.783,17.200000000000003,6.720220155135295,inf,0,32.8,52.3,6.268967802793322,3.750073801164662,0.3366876935072515,13,1,35.30000000000001,3.799999999999996,7.2,-32.4,1,Monza
R,55,SAI,48.0,3.0,MEDIUM,20.0,86.113,15.399999999999991,6.740519359606223,inf,0,32.8,52.0,5.83257795568356,3.8152269002279593,0.7584259403070936,12,0,35.2,0.0,10.2,-34.2,1,Monza
R,55,SAI,49.0,3.0,MEDIUM,21.0,85.847,13.599999999999994,6.760414691083428,inf,0,32.6,52.6,5.277151098657148,4.078001061750445,1.5949126260399302,16,0,32.69999999999998,0.0,10.5,-36.0,1,Monza
R,55,SAI,50.0,3.0,MEDIUM,22.0,86.399,11.799999999999995,6.78105762593618,inf,0,32.7,52.3,5.161125365660423,3.768210341481707,1.35945757258663,12,0,35.89999999999999,0.0,11.9,-37.8,1,Monza
R,55,SAI,51.0,3.0,MEDIUM,23.0,86.257,10.0,6.802394763324311,inf,0,32.6,52.4,6.395161883066269,3.5092472296262702,0.0426147722269236,14,1,39.39999999999998,3.399999999999997,8.4,-39.6,1,Monza
R,55,SAI,52.0,3.0,MEDIUM,24.0,85.96,8.200000000000003,6.823286122355687,inf,0,32.6,52.2,5.8976852965865385,3.702628614133357,0.6661905364532108,12,0,35.999999999999986,0.0,9.3,-41.4,1,Monza
R,55,SAI,53.0,3.0,MEDIUM,25.0,85.964,6.399999999999992,6.842683282238422,inf,0,32.6,51.9,5.837240804394244,3.657383649595502,0.7559784622620936,13,0,39.8,0.0,9.9,-43.2,1,Monza
R,63,RUS,1.0,1.0,MEDIUM,1.0,88.774,100.0,0.6931471805599453,inf,0,31.8,55.8,6.3195280963227,4.377394411410723,1.747063716048742,11,0,40.40000000000001,0.0,12.8,0.0,1,Monza
R,63,RUS,2.0,1.0,MEDIUM,2.0,86.651,98.2,3.044522437723423,inf,0,32.0,56.2,6.473071155403559,3.762406549979901,0.0171542926690573,10,0,38.20000000000003,0.0,10.6,-1.8,1,Monza
R,63,RUS,7.0,2.0,HARD,1.0,86.44,89.2,3.951243718581428,inf,0,32.5,56.3,6.54166377974331,3.850414033872936,0.0416978998911559,12,0,33.40000000000003,0.0,9.1,0.0,1,Monza
R,63,RUS,8.0,2.0,HARD,2.0,86.093,87.4,4.290459441148391,inf,0,32.4,56.8,6.537484422929953,3.858985966439081,0.0131572971942265,14,0,32.30000000000001,0.0,9.9,-1.8,1,Monza
R,63,RUS,10.0,2.0,HARD,4.0,86.305,83.8,4.736198448394496,inf,0,32.4,56.2,6.593230647567356,3.809786500611192,0.0213809131339226,15,0,44.10000000000001,0.0,8.9,-5.4,1,Monza
R,63,RUS,11.0,2.0,HARD,5.0,86.63,82.0,4.90527477843843,inf,0,32.4,55.8,6.533195653507257,3.8378532989011855,0.0109766171208784,9,0,40.00000000000003,0.0,9.9,-7.2,1,Monza
R,63,RUS,12.0,2.0,HARD,6.0,87.352,80.2,5.056245805348308,inf,1,32.5,55.8,5.402939869656182,4.554011404702661,1.7881446495742022,12,0,43.1,0.0,10.5,-9.0,1,Monza
R,63,RUS,13.0,2.0,HARD,7.0,86.142,78.4,5.176149732573829,inf,0,32.4,54.9,4.851029361722205,4.548548399459121,2.1329536011892194,10,0,37.99999999999999,0.0,11.0,-10.8,1,Monza
R,63,RUS,14.0,2.0,HARD,8.0,86.549,76.6,5.2832037287379885,inf,0,32.5,55.4,5.249153720623699,4.220215185184772,1.4867894823233636,10,0,39.100000000000016,0.0,9.9,-12.6,1,Monza
R,63,RUS,15.0,2.0,HARD,9.0,85.773,74.8,5.375278407684165,inf,0,32.6,53.8,6.098601101301826,3.7402600124855976,0.152376497557237,12,0,40.70000000000002,0.0,8.3,-14.4,1,Monza
R,63,RUS,16.0,2.0,HARD,10.0,85.742,73.0,5.468060141135132,inf,0,32.6,54.9,6.4631327029901975,3.635649691338182,0.0219652714581117,11,0,40.19999999999999,0.0,8.9,-16.2,1,Monza
R,63,RUS,17.0,2.0,HARD,11.0,85.584,71.2,5.552959584921617,inf,0,32.6,54.9,6.270051147537494,3.633543443297458,0.2361043438587024,17,0,32.400000000000034,0.0,9.5,-18.0,1,Monza
R,63,RUS,18.0,2.0,HARD,12.0,86.152,69.4,5.634789603169249,inf,0,32.6,54.4,5.178434569981228,4.290778343246107,1.7475352317198651,17,0,39.80000000000004,0.0,10.9,-19.8,1,Monza
R,63,RUS,19.0,2.0,HARD,13.0,85.802,67.6,5.707110264748875,inf,0,32.6,54.5,5.803960781470978,4.149153237354398,0.8866837151986217,10,0,39.19999999999999,0.0,9.2,-21.6,1,Monza
R,63,RUS,20.0,2.0,HARD,14.0,85.606,65.8,5.7745515455444085,inf,0,32.5,54.6,5.5806257048528565,4.441523016151699,1.406040238284888,11,0,36.799999999999976,0.0,11.2,-23.4,1,Monza
R,63,RUS,21.0,2.0,HARD,15.0,85.768,64.0,5.834810737062605,inf,0,32.5,54.4,4.969219539839415,4.394948096809559,1.84966397482624,9,0,37.399999999999984,0.0,10.2,-25.2,1,Monza
R,63,RUS,22.0,2.0,HARD,16.0,86.496,62.2,5.891644211825771,inf,0,32.4,53.8,4.979624202172635,4.325818340015113,1.9477005973423336,11,0,36.900000000000006,0.0,11.0,-27.0,1,Monza
R,63,RUS,23.0,2.0,HARD,17.0,85.827,60.4,5.940171252720432,inf,0,32.5,54.0,6.06446621844736,3.939251805390356,0.4635370217514963,14,0,33.799999999999976,0.0,9.7,-28.8,1,Monza
R,63,RUS,24.0,2.0,HARD,18.0,85.642,58.6,5.988961416889864,inf,0,32.5,54.1,6.095361543973812,3.90569614637932,0.6396794264823369,12,0,27.8,0.0,9.9,-30.6,1,Monza
R,63,RUS,25.0,2.0,HARD,19.0,85.345,56.8,6.037870919922137,inf,0,32.4,53.2,5.818713652129859,3.7830069228508783,0.8250746441853914,14,0,29.700000000000006,0.0,8.4,-32.4,1,Monza
R,63,RUS,26.0,2.0,HARD,20.0,85.505,55.0,6.082218910376446,inf,0,32.5,53.8,5.768248379712677,3.7849341454206953,0.8019827603350589,10,0,24.1,0.0,9.9,-34.2,1,Monza
R,63,RUS,27.0,2.0,HARD,21.0,85.517,53.2,6.124683390894205,inf,0,32.5,54.3,5.749163543462322,3.9068571635699936,1.0011751667266784,11,0,26.60000000000001,0.0,9.3,-36.0,1,Monza
R,63,RUS,28.0,2.0,HARD,22.0,105.699,51.4,6.154858094016418,inf,1,32.5,54.3,1.9714949797439012,4.284371411808127,2.228155955190715,5,0,6.200000000000003,0.0,20.3,-37.8,0,Monza
