session,driver_number,driver,lap_number,stint,compound,tyre_age,lap_time_s,fuel_est_kg,te_index,min_gap_s,traffic_flag,air_temp,track_temp,e_deploy_lap_mj,e_harvest_lap_mj,soc_min_lap_mj,n_empty_battery_clips,n_superclips,empty_clip_duration_s,superclip_duration_s,lift_coast_duration_s,fuel_in_stint_kg,is_representative
R,11,PER,6.0,2.0,SOFT,1.0,134.373,91.0,3.8712010109078907,inf,1,32.5,56.4,6.9968746643514095,7.702515115024146,1.9363288664618152,13,0,37.90000000000002,0.0,25.900000000000002,0.0,0
R,11,PER,7.0,2.0,SOFT,2.0,88.725,89.2,4.219507705176107,inf,0,32.5,56.3,6.396740525446697,6.678206520291591,1.6897936330609706,9,0,40.40000000000002,0.0,15.0,-1.8,1
R,11,PER,8.0,2.0,SOFT,3.0,88.382,87.4,4.48863636973214,inf,0,32.4,56.2,6.75909589486867,6.533639383223099,1.5448938808767454,9,0,42.4,0.0,13.0,-3.6,1
R,11,PER,9.0,2.0,SOFT,4.0,88.491,85.6,4.700480365792417,inf,0,32.5,56.4,6.222872467835189,6.7255936357043105,1.8474999999999913,11,0,42.9,0.0,15.100000000000001,-5.4,1
R,11,PER,10.0,2.0,SOFT,5.0,88.248,83.8,4.875197323201151,inf,0,32.4,55.8,6.525569849563928,6.888744288452685,1.52540500256387,10,0,38.50000000000002,0.0,13.100000000000001,-7.2,1
R,11,PER,11.0,2.0,SOFT,6.0,88.527,82.0,5.0238805208462765,inf,0,32.4,55.8,6.426659351444281,6.485076741425594,1.7578206828183522,15,0,40.69999999999999,0.0,13.9,-9.0,1
R,11,PER,12.0,2.0,SOFT,7.0,88.087,80.2,5.147494476813453,inf,0,32.4,55.3,6.474206798934095,6.256905307884919,1.5093704294301058,11,0,36.70000000000001,0.0,11.3,-10.8,1
R,11,PER,13.0,2.0,SOFT,8.0,88.614,78.4,5.2574953720277815,inf,0,32.4,54.9,7.844595770852417,6.292444403481533,0.4209268701622015,11,0,43.50000000000001,0.0,10.200000000000001,-12.6,1
R,11,PER,14.0,2.0,SOFT,9.0,88.92,76.6,5.351858133476067,inf,0,32.5,55.0,8.018038372331755,5.954829016186255,0.09459541825641878,9,0,44.90000000000003,0.0,10.200000000000001,-14.4,1
R,11,PER,15.0,2.0,SOFT,10.0,89.001,74.8,5.44673737166631,inf,0,32.6,53.8,7.884431695504917,5.840558251159582,0.04182643238881485,10,0,46.199999999999996,0.0,10.600000000000001,-16.2,1
R,11,PER,16.0,2.0,SOFT,11.0,88.785,73.0,5.537334267018537,inf,0,32.6,54.9,6.335302368038322,6.31349962018348,1.5332851383036596,11,0,43.30000000000001,0.0,12.3,-18.0,1
R,11,PER,17.0,2.0,SOFT,12.0,88.357,71.2,5.6131281063880705,inf,0,32.7,54.7,7.583428519447475,5.586980727776929,0.010796885418622105,11,0,41.599999999999994,0.0,10.200000000000001,-19.8,1
R,11,PER,18.0,2.0,SOFT,13.0,89.089,69.4,5.69035945432406,inf,0,32.6,54.4,7.75787553679238,5.935341020851361,0.0037953343029993973,15,0,38.49999999999998,0.0,11.3,-21.6,1
R,11,PER,19.0,2.0,SOFT,14.0,88.416,67.6,5.755742213586912,inf,0,32.6,54.2,7.357644208581464,5.311794550322556,0.00041627055052168114,10,0,40.90000000000002,0.0,9.3,-23.400000000000002,1
R,11,PER,20.0,2.0,SOFT,15.0,88.77,65.8,5.817111159963204,inf,0,32.5,54.6,7.529880051833995,5.404077691907343,0.00022222970907199985,11,0,48.20000000000002,0.0,9.600000000000001,-25.2,1
R,11,PER,21.0,2.0,SOFT,16.0,88.824,64.0,5.87493073085203,inf,0,32.5,53.8,7.900399270384613,5.602421399484406,0.0028728844610473904,12,0,45.5,0.0,10.5,-27.0,1
R,11,PER,23.0,2.0,SOFT,18.0,88.92,60.4,5.981414211254481,inf,0,32.5,54.1,6.93160267657883,5.843009111939116,1.0697770834490055,10,0,33.20000000000001,0.0,15.0,-30.6,1
R,11,PER,24.0,2.0,SOFT,19.0,89.367,58.6,6.030685260261263,inf,0,32.4,53.5,7.086598899129303,5.99690383406473,0.5376208142682228,13,0,42.399999999999984,0.0,11.100000000000001,-32.4,1
